file_name,transition,score
01_CHAIR_RR_V1_channel_1_tx1.mat,CHAIR,
01_CHAIR_RR_V1_channel_1_tx2.mat,CHAIR,
01_CHAIR_RR_V1_channel_1_tx3.mat,CHAIR,
01_CHAIR_RR_V1_channel_2_tx1.mat,CHAIR,
01_CHAIR_RR_V1_channel_2_tx2.mat,CHAIR,
01_CHAIR_RR_V1_channel_2_tx3.mat,CHAIR,
01_CHAIR_RR_V1_channel_3_tx1.mat,CHAIR,
01_CHAIR_RR_V1_channel_3_tx2.mat,CHAIR,
01_CHAIR_RR_V1_channel_3_tx3.mat,CHAIR,
01_CHAIR_RR_V1_channel_4_tx1.mat,CHAIR,
01_CHAIR_RR_V1_channel_4_tx2.mat,CHAIR,
01_CHAIR_RR_V1_channel_4_tx3.mat,CHAIR,
02_CHAIR_RR_V1_channel_1_tx1.mat,CHAIR,
02_CHAIR_RR_V1_channel_1_tx2.mat,CHAIR,
02_CHAIR_RR_V1_channel_1_tx3.mat,CHAIR,
02_CHAIR_RR_V1_channel_2_tx1.mat,CHAIR,
02_CHAIR_RR_V1_channel_2_tx2.mat,CHAIR,
02_CHAIR_RR_V1_channel_2_tx3.mat,CHAIR,
02_CHAIR_RR_V1_channel_3_tx1.mat,CHAIR,
02_CHAIR_RR_V1_channel_3_tx2.mat,CHAIR,
02_CHAIR_RR_V1_channel_3_tx3.mat,CHAIR,
02_CHAIR_RR_V1_channel_4_tx1.mat,CHAIR,
02_CHAIR_RR_V1_channel_4_tx2.mat,CHAIR,
02_CHAIR_RR_V1_channel_4_tx3.mat,CHAIR,
03_CHAIR_RR_V1_channel_1_tx1.mat,CHAIR,
03_CHAIR_RR_V1_channel_1_tx2.mat,CHAIR,
03_CHAIR_RR_V1_channel_1_tx3.mat,CHAIR,
03_CHAIR_RR_V1_channel_2_tx1.mat,CHAIR,
03_CHAIR_RR_V1_channel_2_tx2.mat,CHAIR,
03_CHAIR_RR_V1_channel_2_tx3.mat,CHAIR,
03_CHAIR_RR_V1_channel_3_tx1.mat,CHAIR,
03_CHAIR_RR_V1_channel_3_tx2.mat,CHAIR,
03_CHAIR_RR_V1_channel_3_tx3.mat,CHAIR,
03_CHAIR_RR_V1_channel_4_tx1.mat,CHAIR,
03_CHAIR_RR_V1_channel_4_tx2.mat,CHAIR,
03_CHAIR_RR_V1_channel_4_tx3.mat,CHAIR,
04_CHAIR_RR_V1_channel_1_tx1.mat,CHAIR,
04_CHAIR_RR_V1_channel_1_tx2.mat,CHAIR,
04_CHAIR_RR_V1_channel_1_tx3.mat,CHAIR,
04_CHAIR_RR_V1_channel_2_tx1.mat,CHAIR,
04_CHAIR_RR_V1_channel_2_tx2.mat,CHAIR,
04_CHAIR_RR_V1_channel_2_tx3.mat,CHAIR,
04_CHAIR_RR_V1_channel_3_tx1.mat,CHAIR,
04_CHAIR_RR_V1_channel_3_tx2.mat,CHAIR,
04_CHAIR_RR_V1_channel_3_tx3.mat,CHAIR,
04_CHAIR_RR_V1_channel_4_tx1.mat,CHAIR,
04_CHAIR_RR_V1_channel_4_tx2.mat,CHAIR,
04_CHAIR_RR_V1_channel_4_tx3.mat,CHAIR,
05_CHAIR_RR_V1_channel_1_tx1.mat,CHAIR,
05_CHAIR_RR_V1_channel_1_tx2.mat,CHAIR,
05_CHAIR_RR_V1_channel_1_tx3.mat,CHAIR,
05_CHAIR_RR_V1_channel_2_tx1.mat,CHAIR,
05_CHAIR_RR_V1_channel_2_tx2.mat,CHAIR,
05_CHAIR_RR_V1_channel_2_tx3.mat,CHAIR,
05_CHAIR_RR_V1_channel_3_tx1.mat,CHAIR,
05_CHAIR_RR_V1_channel_3_tx2.mat,CHAIR,
05_CHAIR_RR_V1_channel_3_tx3.mat,CHAIR,
05_CHAIR_RR_V1_channel_4_tx1.mat,CHAIR,
05_CHAIR_RR_V1_channel_4_tx2.mat,CHAIR,
05_CHAIR_RR_V1_channel_4_tx3.mat,CHAIR,
08_CHAIR_RR_V1_channel_1_tx1.mat,CHAIR,
08_CHAIR_RR_V1_channel_1_tx2.mat,CHAIR,
08_CHAIR_RR_V1_channel_1_tx3.mat,CHAIR,
08_CHAIR_RR_V1_channel_2_tx1.mat,CHAIR,
08_CHAIR_RR_V1_channel_2_tx2.mat,CHAIR,
08_CHAIR_RR_V1_channel_2_tx3.mat,CHAIR,
08_CHAIR_RR_V1_channel_3_tx1.mat,CHAIR,
08_CHAIR_RR_V1_channel_3_tx2.mat,CHAIR,
08_CHAIR_RR_V1_channel_3_tx3.mat,CHAIR,
08_CHAIR_RR_V1_channel_4_tx1.mat,CHAIR,
08_CHAIR_RR_V1_channel_4_tx2.mat,CHAIR,
08_CHAIR_RR_V1_channel_4_tx3.mat,CHAIR,
10_CHAIR_RR_V1_channel_1_tx1.mat,CHAIR,
10_CHAIR_RR_V1_channel_1_tx2.mat,CHAIR,
10_CHAIR_RR_V1_channel_1_tx3.mat,CHAIR,
10_CHAIR_RR_V1_channel_2_tx1.mat,CHAIR,
10_CHAIR_RR_V1_channel_2_tx2.mat,CHAIR,
10_CHAIR_RR_V1_channel_2_tx3.mat,CHAIR,
10_CHAIR_RR_V1_channel_3_tx1.mat,CHAIR,
10_CHAIR_RR_V1_channel_3_tx2.mat,CHAIR,
10_CHAIR_RR_V1_channel_3_tx3.mat,CHAIR,
10_CHAIR_RR_V1_channel_4_tx1.mat,CHAIR,
10_CHAIR_RR_V1_channel_4_tx2.mat,CHAIR,
10_CHAIR_RR_V1_channel_4_tx3.mat,CHAIR,
12_CHAIR_RR_V1_channel_1_tx1.mat,CHAIR,
12_CHAIR_RR_V1_channel_1_tx2.mat,CHAIR,
12_CHAIR_RR_V1_channel_1_tx3.mat,CHAIR,
12_CHAIR_RR_V1_channel_2_tx1.mat,CHAIR,
12_CHAIR_RR_V1_channel_2_tx2.mat,CHAIR,
12_CHAIR_RR_V1_channel_2_tx3.mat,CHAIR,
12_CHAIR_RR_V1_channel_3_tx1.mat,CHAIR,
12_CHAIR_RR_V1_channel_3_tx2.mat,CHAIR,
12_CHAIR_RR_V1_channel_3_tx3.mat,CHAIR,
12_CHAIR_RR_V1_channel_4_tx1.mat,CHAIR,
12_CHAIR_RR_V1_channel_4_tx2.mat,CHAIR,
12_CHAIR_RR_V1_channel_4_tx3.mat,CHAIR,
13_CHAIR_RR_V1_channel_1_tx1.mat,CHAIR,
13_CHAIR_RR_V1_channel_1_tx2.mat,CHAIR,
13_CHAIR_RR_V1_channel_1_tx3.mat,CHAIR,
13_CHAIR_RR_V1_channel_2_tx1.mat,CHAIR,
13_CHAIR_RR_V1_channel_2_tx2.mat,CHAIR,
13_CHAIR_RR_V1_channel_2_tx3.mat,CHAIR,
13_CHAIR_RR_V1_channel_3_tx1.mat,CHAIR,
13_CHAIR_RR_V1_channel_3_tx2.mat,CHAIR,
13_CHAIR_RR_V1_channel_3_tx3.mat,CHAIR,
13_CHAIR_RR_V1_channel_4_tx1.mat,CHAIR,
13_CHAIR_RR_V1_channel_4_tx2.mat,CHAIR,
13_CHAIR_RR_V1_channel_4_tx3.mat,CHAIR,
14_CHAIR_RR_V1_channel_1_tx1.mat,CHAIR,
14_CHAIR_RR_V1_channel_1_tx2.mat,CHAIR,
14_CHAIR_RR_V1_channel_1_tx3.mat,CHAIR,
14_CHAIR_RR_V1_channel_2_tx1.mat,CHAIR,
14_CHAIR_RR_V1_channel_2_tx2.mat,CHAIR,
14_CHAIR_RR_V1_channel_2_tx3.mat,CHAIR,
14_CHAIR_RR_V1_channel_3_tx1.mat,CHAIR,
14_CHAIR_RR_V1_channel_3_tx2.mat,CHAIR,
14_CHAIR_RR_V1_channel_3_tx3.mat,CHAIR,
14_CHAIR_RR_V1_channel_4_tx1.mat,CHAIR,
14_CHAIR_RR_V1_channel_4_tx2.mat,CHAIR,
14_CHAIR_RR_V1_channel_4_tx3.mat,CHAIR,
15_CHAIR_RR_V1_channel_1_tx1.mat,CHAIR,
